id_igra,wmo,lat,lon,alt,state,name,start,end,total
ACM00078861,78861,17.117,-61.783,10.0,  ,COOLIDGE FIELD (UA),1947,1993,13896
AEM00041217,41217,24.4333,54.65,16.0,  ,ABU DHABI INTERNATIONAL AIRPOR,1983,2020,37208
AEXUAE05467,05467,25.25,55.37,4.0,  ,SHARJAH,1935,1942,2477
AFM00040911,40911,36.7,67.2,378.0,  ,MAZAR-I-SHARIF,2010,2014,2179
AFM00040913,40913,36.6667,68.9167,433.0,  ,KUNDUZ,2010,2013,4540
AFM00040938,40938,34.217,62.217,977.0,  ,HERAT,1978,1988,1107
AFM00040948,40948,34.55,69.2167,1791.0,  ,KABUL AIRPORT,1961,2020,18699
AFM00040990,40990,31.5,65.85,1010.0,  ,KANDAHAR AIRPORT,1976,2014,5934
AGM00060355,60355,36.883,6.9,3.0,  ,SKIKDA,1974,1976,639
AGM00060360,60360,36.833,7.817,4.0,  ,ANNABA,1973,2008,30088
AGM00060390,60390,36.6833,3.2167,25.0,  ,DAR-EL-BEIDA,1948,2020,68851
AGM00060402,60402,36.717,5.067,6.0,  ,BEJAIA-AEROPORT,1973,1988,12372
AGM00060419,60419,36.283,6.617,694.0,  ,CONSTANTINE,1973,2008,21262
AGM00060425,60425,36.217,1.333,141.0,  ,CHLEF,1973,1977,3213
AGM00060430,60430,36.3,2.233,715.0,  ,MILIANA,1973,1990,14988
AGM00060445,60445,36.183,5.25,1040.0,  ,SETIF,1983,1989,5598
AGM00060475,60475,35.417,8.117,811.0,  ,TEBESSA,1974,1991,6009
AGM00060490,60490,35.633,-0.6,90.0,  ,ORAN-SENIA,1973,2008,38241
AGM00060511,60511,35.35,1.467,989.0,  ,TIARET,1987,1988,280
AGM00060525,60525,34.8,5.733,87.0,  ,BISKRA,1973,2002,19871
AGM00060535,60535,34.6833,3.25,1144.0,  ,DJELFA,1974,1989,9814
AGM00060549,60549,33.5333,-0.2833,1123.0,  ,MECHERIA,1982,2012,6933
AGM00060550,60550,33.683,1.0,1341.0,  ,EL-BAYADH,1977,1991,10962
AGM00060559,60559,33.5,6.783,63.0,  ,EL-OUED,1973,2008,28456
AGM00060566,60566,32.383,3.817,450.0,  ,GHARDAIA,1973,2008,31999
AGM00060571,60571,31.5,-2.25,811.0,  ,BECHAR,1948,2020,58384
AGM00060580,60580,31.9333,5.4,152.0,  ,OUARGLA,1963,1997,2887
AGM00060590,60590,30.567,2.867,397.0,  ,EL-GOLEA,1973,2008,31528
AGM00060602,60602,30.133,-2.167,505.0,  ,BENI-ABBES,1981,1990,7838
AGM00060607,60607,29.25,0.283,312.0,  ,TIMIMOUN,1973,1991,9666
AGM00060611,60611,28.05,9.633,563.0,  ,IN-AMENAS,1973,1989,12360
AGM00060620,60620,27.883,-0.283,263.0,  ,ADRAR,1973,2008,22304
AGM00060625,60625,26.9667,1.0833,309.0,  ,AOULEF,1949,1962,3606
AGM00060630,60630,27.2333,2.5,273.0,  ,IN-SALAH,1964,2020,49067
AGM00060640,60640,26.5,8.417,558.0,  ,ILLIZI,1973,1986,502
AGM00060656,60656,27.7,-8.1667,443.0,  ,TINDOUF,1973,2020,13576
AGM00060670,60670,24.267,9.467,968.0,  ,DJANET,1973,1985,6261
AGM00060678,60678,23.8167,5.15,1006.0,  ,IN AMGUEL,1964,1965,144
AGM00060680,60680,22.8,5.4333,1377.0,  ,TAMANRASSET,1934,2020,55582
AGM00060686,60686,21.3333,0.95,398.0,  ,BORDJ-BADJ-MOKHTAR,2011,2012,231
AGXUAE04843,04843,36.77,3.05,50.0,  ,ALGER,1930,1938,2691
AJM00037575,37575,41.55,46.667,490.0,  ,ZAKATALA,1973,1978,424
AJM00037735,37735,40.717,46.417,311.0,  ,GANDJA,1973,1982,818
AJM00037747,37747,40.617,47.15,15.0,  ,EVLAKH AIRPORT,1973,1973,164
AJM00037860,37860,40.5333,50.0,27.0,  ,MASHTAGA,1947,2016,11887
AJM00037895,37895,39.983,46.75,828.0,  ,KHANKANDY,1973,1980,657
AJM00037936,37936,39.2,45.417,885.0,  ,NAXCIVAN,1973,1980,914
AJM00037985,37985,38.733,48.833,-11.0,  ,LANKARAN,1953,1997,33653
AMM00037686,37686,40.783,43.833,1512.0,  ,GUMRI,1973,1976,147
AMM00037789,37789,40.2169,44.5017,1134.0,  ,YEREVAN AERO,1949,2020,37151
AOM00066152,66152,-7.4,20.817,776.0,  ,DUNDO,1952,1975,6240
AOM00066160,66160,-8.85,13.233,74.0,  ,LUANDA,1948,1993,8531
AOM00066285,66285,-11.783,19.917,1329.0,  ,LUENA (LUSO),1952,1975,1995
AOM00066318,66318,-12.8,15.75,1703.0,  ,HUAMBO,1952,1973,301
AOM00066390,66390,-14.933,13.567,1761.0,  ,LUBANGO,1973,1974,236
AOM00066422,66422,-15.2167,12.1667,52.0,  ,MOCAMEDES,1954,1970,1595
AOXUAE05971,05971,-12.37,13.53,1.0,  ,LOBITO,1952,1952,100
AQM00091765,91765,-14.3383,-170.7192,5.5,  ,PAGO PAGO/INT.AIRP. AMERICAN S,1966,2020,47545
AQW00061704,61704,-14.3667,-170.7833,21.0,  ,LEONE BAY AMERICAN S,1962,1962,359
ARM00087047,87047,-24.85,-65.4833,1238.0,  ,SALTA AERO,1965,2014,19838
ARM00087155,87155,-27.45,-59.05,53.0,  ,RESISTENCIA AERO,1961,2020,29990
ARM00087157,87157,-27.4667,-58.9833,52.0,  ,RESISTENCIA,1957,1961,1200
ARM00087344,87344,-31.3167,-64.2167,484.0,  ,CORDOBA AERO,1959,2020,25290
ARM00087418,87418,-32.8333,-68.7833,705.0,  ,MENDOZA AERO,1974,2020,16291
ARM00087420,87420,-32.8833,-68.85,827.0,  ,OBSERV MENDOZA,1965,1973,3075
ARM00087576,87576,-34.8167,-58.5333,20.0,  ,EZEIZA AERO,1957,2020,38612
ARM00087585,87585,-34.58,-58.48,25.0,  ,BUENOS AIRES,1957,1957,107
ARM00087596,87596,-35.367,-57.283,22.0,  ,PUNTA INDIO B.A.,1975,1978,151
ARM00087623,87623,-36.5667,-64.2667,190.0,  ,SANTA ROSA AERO,1965,2020,25344
ARM00087715,87715,-38.95,-68.1333,270.0,  ,NEUQUEN AERO,1957,2020,18635
ARM00087748,87748,-38.7333,-62.1667,75.0,  ,COMANDANTE ESPORA,1964,1993,13733
ARM00087827,87827,-43.2333,-65.3,42.0,  ,ALMIRANTE ZAR,1973,1975,1150
ARM00087860,87860,-45.7833,-67.5,58.0,  ,COMODORO RIVADAVIA AERO,1958,2020,24596
ARM00087926,87926,-51.6333,-69.2167,20.0,  ,RIO GALLEGOS B. A.,1967,1977,4526
ARM00087934,87934,-53.8,-67.75,22.0,  ,RIO GRANDE AIRPORT,1977,1984,3267
ARM00087938,87938,-54.8,-68.3167,6.0,  ,USHUAIA,1957,1967,1943
ARM00088946,88946,-59.45,-27.267,15.0,  ,CORBETA URUGUAY DN,1980,1981,275
ASM00094120,94120,-12.4239,130.8925,31.4,  ,DARWIN AIRPORT,1943,2020,93593
ASM00094150,94150,-12.2742,136.8203,62.5,  ,GOVE AIRPORT,1985,2020,34005
ASM00094170,94170,-12.6778,141.9208,19.2,  ,WEIPA AERO,1993,2020,12609
ASM00094175,94175,-10.583,142.217,60.0,  ,THURSDAY IL/HORN IL,1951,1993,21187
ASM00094203,94203,-17.9475,122.2353,17.4,  ,BROOME AIRPORT,1950,2020,83431
ASM00094205,94205,-17.3167,123.6333,8.0,  ,DERBY,1972,1981,7081
ASM00094212,94212,-18.2292,127.6636,410.3,  ,HALLS CREEK AIRPORT,1950,2016,52731
ASM00094234,94234,-16.2667,133.3833,217.0,  ,DALY WATERS,1948,1970,20570
ASM00094238,94238,-19.6422,134.1833,376.7,  ,TENNANT CREEK AIRPORT,1969,2012,46728
ASM00094259,94259,-17.7333,139.5333,8.0,  ,BURKETOWN,1987,1987,145
ASM00094266,94266,-17.6833,141.0667,22.0,  ,NORMANTON AIRPORT,1950,1951,229
ASM00094287,94287,-16.8736,145.7458,3.0,  ,CAIRNS AERO,1947,2014,79304
ASM00094294,94294,-19.2483,146.7661,5.5,  ,TOWNSVILLE AERO,1943,2020,87784
ASM00094299,94299,-16.2833,149.965,9.0,  ,WILLIS ISLAND,1947,2020,68797
ASM00094300,94300,-24.8878,113.67,4.0,  ,CARNARVON AIRPORT,1950,2012,71908
ASM00094302,94302,-22.2406,114.0967,6.0,  ,LEARMONTH AIRPORT,1975,2020,43170
ASM00094305,94305,-21.6333,115.1167,3.0,  ,ONSLOW,1950,1975,25950
ASM00094312,94312,-20.3725,118.6317,10.1,  ,PORT HEDLAND AIRPORT,1950,2020,74114
ASM00094326,94326,-23.795,133.8889,545.3,  ,ALICE SPRINGS AIRPORT,1946,2020,86295
ASM00094332,94332,-20.6778,139.4875,341.7,  ,MOUNT ISA AERO,1975,2020,41421
ASM00094335,94335,-20.6667,140.5,189.0,  ,CLONCURRY,1943,1975,33366
ASM00094346,94346,-23.4372,144.2769,191.1,  ,LONGREACH AERO,1966,2017,47067
ASM00094367,94367,-21.1172,149.2169,30.3,  ,MACKAY M.O,1959,2016,66046
ASM00094374,94374,-23.3753,150.4775,10.4,  ,ROCKHAMPTON AERO,1943,2020,52470
ASM00094380,94380,-23.85,151.25,75.0,  ,GLADSTONE,1957,1993,46725
ASM00094403,94403,-28.8044,114.6989,36.9,  ,GERALDTON AIRPORT,1950,2020,75741
ASM00094430,94430,-26.6136,118.5372,522.1,  ,MEEKATHARRA AIRPORT,1951,2020,60663
ASM00094461,94461,-25.0342,128.3011,580.0,  ,GILES METEOROLOGICAL OFFICE,1956,2020,80049
ASM00094476,94476,-27.55,135.4833,116.0,  ,OODNADATTA,1948,1985,37900
ASM00094510,94510,-26.4139,146.2558,305.7,  ,CHARLEVILLE AERO,1942,2020,82675
ASM00094568,94568,-27.65,152.7167,26.0,  ,AMBERLEY,1949,1955,2455
ASM00094578,94578,-27.3917,153.1292,4.0,  ,BRISBANE AERO,1943,2020,90127
ASM00094610,94610,-31.9275,115.9764,20.4,  ,PERTH AIRPORT,1948,2020,96561
ASM00094637,94637,-30.7847,121.4533,366.7,  ,KALGOORLIE-BOULDER AIRPORT,1950,2020,74301
ASM00094638,94638,-33.83,121.8925,25.0,  ,ESPERANCE,1969,2020,58050
ASM00094646,94646,-30.833,128.1,160.0,  ,FORREST AIRPORT,1950,1995,54264
ASM00094647,94647,-31.6667,128.8667,101.0,  ,EUCLA,1995,2012,12086
ASM00094653,94653,-32.1297,133.6975,23.5,  ,CEDUNA AMO,1950,2020,70248
ASM00094659,94659,-31.1558,136.8053,167.0,  ,WOOMERA AERODROME,1949,2020,72459
ASM00094672,94672,-34.9525,138.5203,6.1,  ,ADELAIDE AIRPORT,1945,2020,90075
ASM00094693,94693,-34.2358,142.0867,50.6,  ,MILDURA AIRPORT,1950,2013,75371
ASM00094703,94703,-30.0833,145.9667,108.0,  ,BOURKE (S23'05'11'17),1948,1948,130
ASM00094711,94711,-31.4839,145.8294,260.0,  ,COBAR MO,1962,2020,59231
ASM00094723,94723,-32.5667,148.95,304.0,  ,WELLINGTON,1947,1950,948
ASM00094750,94750,-34.9469,150.5353,122.0,  ,NOWRA RAN AIR STATION AWS,1950,2020,37842
ASM00094767,94767,-33.9464,151.1731,6.4,  ,SYDNEY AIRPORT AMO,1946,2020,70426
ASM00094773,94773,-30.5167,151.65,980.0,  ,ARMIDALE,1947,1949,728
ASM00094776,94776,-32.7933,151.8358,9.5,  ,WILLIAMTOWN RAAF,1944,2020,74641
ASM00094791,94791,-30.3108,153.1186,5.5,  ,COFFS HARBOUR MO,1951,2013,67021
ASM00094802,94802,-34.9414,117.8022,71.0,  ,ALBANY AIRPORT,1965,2020,59605
ASM00094821,94821,-37.7472,140.7739,64.6,  ,MOUNT GAMBIER AERO,1945,2020,68134
ASM00094865,94865,-37.867,144.75,16.0,  ,LAVERTON AERODROME,1948,1999,58326
ASM00094866,94866,-37.6656,144.8322,132.3,  ,MELBOURNE AIRPORT,1946,2020,39492
ASM00094907,94907,-38.1,147.1333,5.0,  ,EAST SALE (AUS-AFB),1950,2009,45308
ASM00094910,94910,-35.1583,147.4572,220.7,  ,WAGGA WAGGA AMO,1946,2020,78053
ASM00094926,94926,-35.3,149.183,575.0,  ,CANBERRA AIRPORT,1947,2005,54494
ASM00094968,94968,-41.533,147.2,171.0,  ,LAUNCESTON AIRPORT,1938,2003,53633
ASM00094970,94970,-42.8833,147.3333,55.0,  ,HOBART,1949,1953,1774
ASM00094974,94974,-42.2,145.05,15.0,  ,GEOGERTOWN,1948,1958,2980
ASM00094975,94975,-42.8339,147.5033,4.0,  ,HOBART AIRPORT,1953,2020,70951
ASM00094995,94995,-31.5422,159.0786,5.2,  ,LORD HOWE ISLAND AERO,1950,2020,68935
ASM00094998,94998,-54.4994,158.937,6.0,  ,MACQUARIE ISLAND,1948,2020,66358
ASM00095527,95527,-29.4897,149.8472,213.7,  ,MOREE AERO,1964,2020,52796
ASM00095607,95607,-33.6,115.4667,15.0,  ,LUDLOW,1942,1944,539
ASXUA942005,42005,-19.28,121.5,3.0,  ,TALGARNO,1960,1961,297
ASXUA946505,46505,-30.01,131.583,290.0,  ,MARALINGA,1955,1965,7453
AUM00011010,11010,48.2353,14.1881,298.0,  ,LINZ/HOERSCHING-FLUGHAFEN,1987,2019,10855
AUM00011035,11035,48.2486,16.3564,200.0,  ,WIEN/HOHE WARTE,1910,2019,79641
AUM00011120,11120,47.2603,11.3439,581.0,  ,INNSBRUCK-FLUGHAFEN,1998,2019,7542
AUM00011240,11240,46.9931,15.4392,340.0,  ,GRAZ-THALERHOF-FLUGHAFEN,1987,2019,10698
AYM00088967,88967,-77.9667,-38.8,32.0,  ,GENERAL BELGRANO,1970,1975,1782
AYM00089001,89001,-70.317,-2.367,52.0,  ,SANAE,1957,1992,9815
AYM00089002,89002,-70.6667,-8.25,50.0,  ,NEUMAYER,1984,2020,12410
AYM00089009,89009,-90.0,0.0,2835.0,  ,AMUNDSEN-SCOTT,1961,2020,29165
AYM00089022,89022,-75.445,-26.2181,30.0,  ,HALLEY,1957,2020,20550
AYM00089050,89050,-62.183,-58.883,16.0,  ,BELLINGSHAUSEN AWS,1970,1999,6342
AYM00089051,89051,-63.4667,-56.2833,18.0,  ,PETREL NAS,1969,1972,1654
AYM00089055,89055,-64.2333,-56.7167,208.0,  ,BASE MARAMBIO,1982,2020,4962
AYM00089062,89062,-67.5661,-68.1297,3.0,  ,ROTHERA,2002,2020,3677
AYM00089063,89063,-65.25,-64.2667,11.0,  ,FARADAY,1954,1982,10141
AYM00089125,89125,-80.017,-119.533,1515.0,  ,BYRD STN,1957,1979,7679
AYM00089512,89512,-70.7678,11.8317,118.9,  ,NOVOLAZAREVSKAJA,1969,2018,15690
AYM00089522,89522,-70.4333,24.3167,38.0,  ,BASE ROI BAUDOUIN,1958,1959,1097
AYM00089532,89532,-69.0053,39.5811,18.4,  ,SYOWA,1959,2020,36419
AYM00089542,89542,-67.667,45.85,40.0,  ,MOLODEZNAJA,1969,1998,13014
AYM00089557,89557,-78.4,87.583,3571.0,  ,SOVIETSKAVA,1958,1958,273
AYM00089564,89564,-67.6017,62.8753,9.9,  ,MAWSON,1954,2020,38655
AYM00089571,89571,-68.5744,77.9672,18.0,  ,DAVIS,1957,2020,39411
AYM00089592,89592,-66.5519,93.0147,43.4,  ,MIRNYJ,1957,2020,22770
AYM00089593,89593,-69.73,95.05,2701.0,  ,PIONERSKAVA,1958,1958,121
AYM00089601,89601,-66.27,100.73,290.0,  ,BUNGER OASIS,1957,1958,548
AYM00089606,89606,-78.45,106.867,3486.0,  ,VOSTOK,1958,1991,7319
AYM00089611,89611,-66.2825,110.5231,40.0,  ,CASEY,1957,2020,41597
AYM00089625,89625,-75.1017,123.4119,3233.0,  ,CONCORDIA,2006,2020,2716
AYM00089642,89642,-66.6631,140.0011,43.0,  ,DUMONT D'URVILLE,1951,2020,17133
AYM00089657,89657,-69.5,159.4,304.0,  ,LENINGRADSKAJA,1983,1991,2575
AYM00089662,89662,-74.6958,164.0922,92.0,  ,MARIO ZUCHELLI STATION,1987,2020,4025
AYM00089664,89664,-77.85,166.6667,24.0,  ,MCMURDO,1956,2020,29610
AYM00089671,89671,-72.3,170.2167,5.2,  ,ADARE HALLETT,1957,1973,4373
AYW00057401,57401,-77.7333,-41.1167,43.3,  ,ELLSWORTH IGY,1957,1962,2138
AYW00067401,67401,-79.25,-147.5,651.1,  ,LITTLE ROCKFORD,1960,1962,309
AYW00067402,67402,-76.2667,-147.5,591.0,  ,LITTLE ROCKFORD,1962,1965,389
AYXUA891755,91755,-78.2,-162.25,32.0,  ,LITTLE AMERICA,1956,1958,1612
AYXUAE05498,05498,-78.57,-163.93,5.0,  ,LITTLE AMERICA I,1929,1935,965
AYXUAE05532,05532,-78.5,-163.8,10.0,  ,LITTLE AMERICA,1940,1940,207
BAM00040427,40427,26.267,50.617,2.0,  ,BAHRAIN/MUHARRAQ,1928,1974,18609
BBM00078954,78954,13.0667,-59.4833,50.0,  ,GRANTLEY ADAMS,1965,2020,28389
BCM00068032,68032,-19.9833,23.4167,945.0,  ,MAUN,1957,2012,1796
BCM00068040,68040,-21.417,25.6,985.0,  ,LETLHAKANE,1997,2006,693
BCM00068054,68054,-21.217,27.5,1001.0,  ,FRANCISTOWN,1988,1992,613
BCM00068240,68240,-24.55,25.9167,1005.0,  ,SERETSE KHAMA INTERNATIONAL AI,1985,2011,5771
BCM00068244,68244,-24.667,25.917,1000.0,  ,GABORONE,1973,1984,695
BCM00068328,68328,-26.05,22.45,1000.0,  ,TSABONG,1989,2004,836
BDM00078016,78016,32.3669,-64.6772,4.0,  ,L F WADE INTERNATIONAL AIRPORT,1946,2020,61715
BEM00006400,06400,51.083,2.65,9.0,  ,KOKSIJDE,1999,2002,311
BEM00006447,06447,50.7969,4.3581,99.0,  ,UCCLE,1949,2015,42558
BEM00006458,06458,50.7456,4.7633,112.8,  ,BEAUVECHAIN,2005,2020,5612
BEM00006476,06476,50.033,5.4,558.0,  ,ST-HUBERT,1964,2006,26357
BEM00006496,06496,50.4822,6.1814,565.1,  ,ELSENBORN,1999,2009,625
BFM00078063,78063,26.6167,-78.3667,6.1,  ,GOLD ROCK CREEK,1951,1970,13583
BFM00078073,78073,25.05,-77.4667,7.0,  ,NASSAU AIRPORT NEW PROVIDENCE,1977,2020,14341
BFM00078076,78076,25.2667,-76.3,10.1,  ,ELEUTHERA ISLAND,1952,1970,6389
BFM00078107,78107,22.37,-73.03,21.0,  ,MAYAGUAN,1955,1957,1160
BGM00041859,41859,25.7333,89.2333,33.0,  ,RANGPUR,1929,2020,22127
BGM00041883,41883,24.85,89.3667,18.0,  ,BOGRA,1949,2020,34388
BGM00041891,41891,24.9,91.8833,34.0,  ,SYLHET,1953,2020,29446
BGM00041907,41907,24.1333,89.05,13.0,  ,ISHWARDI,1976,2020,29148
BGM00041923,41923,23.7667,90.3833,8.0,  ,DHAKA,1938,2020,39329
BGM00041936,41936,23.1833,89.1667,6.0,  ,JESSORE,1982,2020,32637
BGM00041943,41943,23.0333,91.4167,6.0,  ,FENI,1982,2020,24282
BGM00041950,41950,22.75,90.3667,3.0,  ,BARISAL,1977,2020,24788
BGM00041977,41977,22.35,91.8167,33.0,  ,CHITTAGONG (AMBAGAN),1928,2020,42284
BGM00041992,41992,21.4333,91.9333,2.0,  ,COX'S BAZAR,1951,2020,27387
BGXUAC03368,03368,25.88,89.43,0.0,  ,LALMANIR HAT,1944,1946,407
BGXUAE05433,05433,22.25,91.82,5.0,  ,CHATTAGRAM,1938,1942,1629
BGXUAE05797,05797,23.62,90.05,10.0,  ,DACCA,1928,1935,3646
BHM00078583,78583,17.5333,-88.3,5.0,  ,BELIZE/PHILLIP GOLDSTON INTL.,1980,2020,18358
BLM00085041,85041,-11.0333,-68.7833,235.0,  ,COBIJA,2002,2003,222
BLM00085154,85154,-14.8167,-64.9167,155.0,  ,TRINIDAD,1944,2003,937
BLM00085201,85201,-16.517,-68.183,4061.0,  ,LA PAZ/ALTO,1945,2003,4156
BLM00085245,85245,-17.8,-63.1833,418.0,  ,SANTA CRUZ/EL TROMPILLO,1944,2004,1454
BLM00085268,85268,-18.3167,-59.7667,276.0,  ,ROBORE,2002,2003,144
BLXUAE04835,04835,-17.38,-66.17,2575.0,  ,COCHABAMBA,1944,1946,1502
BLXUAE04836,04836,-10.82,-65.37,130.0,  ,GUAYARAMERIN,1944,1946,618
BLXUAE04838,04838,-14.45,-67.53,215.0,  ,RURRENABAQUE,1946,1946,125
BLXUAE04841,04841,-22.03,-63.68,595.0,  ,YACUIBA,1944,1946,670
BMM00048008,48008,25.3667,97.4,145.0,  ,MYITKYINA,1973,1998,3942
BMM00048042,48042,21.983,96.1,74.0,  ,MANDALAY,1928,1998,5055
BMM00048053,48053,20.883,95.9,220.0,  ,MEIKTILA,1962,1998,5141
BMM00048060,48060,21.3,99.617,828.0,  ,KENGTUNG,1983,1984,231
BMM00048062,48062,20.133,92.883,4.0,  ,SITTWE,1926,1985,9125
BMM00048080,48080,18.467,94.35,9.0,  ,SANDOWAY,1933,1993,6057
BMM00048094,48094,16.767,94.767,10.0,  ,PATHEIN,1973,2002,2065
BMM00048096,48096,16.9,96.183,29.0,  ,MINGALADON,1981,1983,945
BMM00048097,48097,16.7667,96.1667,14.0,  ,YANGON,1928,2014,13603
BMM00048108,48108,14.1,98.2167,16.0,  ,DAWEI,1935,2002,3999
BMM00048109,48109,14.117,93.367,3.0,  ,COCO ISLAND,1973,1985,985
BMM00048110,48110,12.433,98.6,36.0,  ,MERGUI,1941,1998,3067
BMM00048112,48112,9.967,98.583,47.0,  ,VICTORIA POINT,1932,1993,3967
BNM00065306,65306,11.1333,2.9333,290.0,  ,KANDI,1940,2019,24677
BNM00065330,65330,9.35,2.6167,392.0,  ,PARAKOU,1973,2016,22552
BNM00065344,65344,6.35,2.3833,5.0,  ,COTONOU,1940,2020,43755
BNXUAAW5331,,8.8667,2.6,325.0,  ,TCHAOUROU,1942,1957,6364
BOM00026850,26850,53.933,27.633,231.0,  ,MINSK,1939,1998,43880
BOM00033008,33008,52.1167,23.6833,144.0,  ,BREST,1951,2020,40518
BOM00033036,33036,52.05,29.25,185.0,  ,MOZYR (AMOS),1957,1969,6912
BOM00033041,33041,52.4019,30.9631,126.3,  ,GOMEL,1970,2020,33209
BPM00091517,91517,-9.4167,159.9667,55.0,  ,HONIARA,1959,2011,24636
BPM00091541,91541,-10.7,165.8,24.0,  ,SANTA CRUZ ISLAND,1992,1993,151
BRM00081729,81729,-3.2944,-60.6283,19.0,  ,MANACAPURU,2014,2015,2770
BRM00082022,82022,2.8333,-60.7,140.0,  ,BOA VISTA (AERO),1977,2020,9059
BRM00082026,82026,2.2239,-55.9472,325.0,  ,TIRIOS,2006,2020,6888
BRM00082099,82099,0.05,-51.0667,16.0,  ,MACAPA (AERO),2005,2020,6955
BRM00082107,82107,-0.1167,-66.9667,79.0,  ,SAO GABRIEL DA CACHOEIRA,2008,2020,4816
BRM00082193,82193,-1.3833,-48.4833,16.0,  ,BELEM (AERO),1943,2020,23358
BRM00082244,82244,-2.4333,-54.7167,72.0,  ,SANTAREM (AERO),1973,2020,7376
BRM00082281,82281,-2.6,-44.2333,53.0,  ,SAO LUIZ (AERO),1971,2020,11105
BRM00082287,82287,-3.083,-41.783,22.0,  ,PARNAIBA,1973,1979,665
BRM00082332,82332,-3.15,-59.9833,84.0,  ,MANAUS (AERO),1967,2020,21751
BRM00082397,82397,-3.7667,-38.6,26.0,  ,FORTALEZA,1973,2019,9728
BRM00082400,82400,-3.85,-32.4167,56.0,  ,FERNANDO DE NORONHA,1958,2020,12783
BRM00082411,82411,-4.25,-69.9333,81.0,  ,TABATINGA (AERO),2006,2020,6335
BRM00082532,82532,-5.8167,-61.2833,53.0,  ,MANICORE (AERO),2006,2020,6660
BRM00082571,82571,-5.5,-45.267,153.0,  ,BARRA DO CORDA,1977,1979,161
BRM00082579,82579,-5.05,-42.817,67.0,  ,TERESINA,1973,1978,313
BRM00082586,82586,-5.2,-39.3,212.0,  ,QUIXERAMOBIM,1974,1979,334
BRM00082599,82599,-5.9167,-35.25,52.0,  ,NATAL (AERO),1943,2020,17790
BRM00082640,82640,-6.267,-57.733,99.0,  ,JACAREACANGA,1973,1975,287
BRM00082678,82678,-6.7667,-43.0167,127.0,  ,FLORIANO,1971,2019,7626
BRM00082705,82705,-7.5833,-72.7667,199.0,  ,CRUZEIRO DO SUL (AERO),2004,2020,7317
BRM00082765,82765,-7.3333,-47.4667,193.0,  ,CAROLINA,1970,2020,5666
BRM00082784,82784,-7.317,-39.3,409.0,  ,BARBALHA,1974,1979,334
BRM00082791,82791,-7.017,-37.267,249.0,  ,PATOS,1976,1979,137
BRM00082824,82824,-8.7667,-63.9167,102.0,  ,PORTO VELHO (AERO),1977,2020,11661
BRM00082900,82900,-8.05,-34.9167,7.0,  ,RECIFE,1952,2019,14978
BRM00082917,82917,-10.0,-67.8,142.0,  ,RIO BRANCO (AERO),2004,2020,7514
BRM00082930,82930,-9.333,-54.967,537.0,  ,CACHIMBO AERO,1973,1986,2176
BRM00082965,82965,-9.8667,-56.1,288.0,  ,ALTA FLORESTA (AERO),1987,2020,11775
BRM00082975,82975,-9.1,-44.117,331.0,  ,BOM JESUS,1977,1979,376
BRM00082983,82983,-9.3833,-40.4833,370.0,  ,PETROLINA,1970,2020,9317
BRM00082993,82993,-9.517,-35.783,118.0,  ,MACEIO (AEROPORTO),1973,1979,133
BRM00083063,83063,-10.7,-48.4,265.0,  ,PORTO NACIONAL,1973,1979,1005
BRM00083096,83096,-10.917,-37.05,5.0,  ,ARACAJU,1974,1979,417
BRM00083182,83182,-11.3,-41.867,747.0,  ,IRECE,1975,1979,347
BRM00083208,83208,-12.7,-60.1,612.0,  ,VILHENA (AERO),1967,2020,15795
BRM00083229,83229,-13.0167,-38.5167,52.0,  ,SALVADOR,1970,2018,7952
BRM00083236,83236,-12.15,-45.0,439.0,  ,BARREIRAS,1973,1979,1194
BRM00083288,83288,-13.2667,-43.4167,440.0,  ,BOM JESUS DA LAPA,1970,2019,6605
BRM00083344,83344,-14.95,-40.883,914.0,  ,VITORIA DA CONQUIST,1976,1977,123
BRM00083361,83361,-15.6,-56.1,165.0,  ,CUIABA,1991,1993,443
BRM00083362,83362,-15.65,-56.1,187.0,  ,CUIABA (AERO),1974,2020,11761
BRM00083378,83378,-15.8667,-47.9333,1061.0,  ,BRASILIA (AERO),1966,2020,27252
BRM00083498,83498,-17.7333,-39.25,3.0,  ,CARAVELAS,1975,2016,5524
BRM00083525,83525,-18.8833,-48.2167,943.0,  ,UBERLANDIA (AERO),2006,2020,7601
BRM00083554,83554,-19.0,-57.6667,141.0,  ,CORUMBA (AERO),2002,2020,8787
BRM00083566,83566,-19.6167,-43.9667,827.0,  ,CONFINS (AERO),1973,2020,11913
BRM00083576,83576,-19.783,-47.967,809.0,  ,UBERABA,1973,1973,134
BRM00083612,83612,-20.4667,-54.6667,567.0,  ,CAMPO GRANDE (AERO),1966,2020,25196
BRM00083649,83649,-20.2667,-40.2833,4.0,  ,VITORIA (AERO),1973,2020,7440
BRM00083650,83650,-20.5,-29.3167,5.0,  ,TRINDADE (ILHA),1967,2019,9829
BRM00083746,83746,-22.8167,-43.25,6.0,  ,GALEAO,1961,2020,31507
BRM00083768,83768,-23.3333,-51.1333,569.0,  ,LONDRINA (AERO),1973,2020,8796
BRM00083779,83779,-23.5,-46.6333,722.0,  ,MARTE (AERO),2000,2020,12825
BRM00083780,83780,-23.617,-46.65,802.0,  ,SAO PAULO,1955,2000,16840
BRM00083827,83827,-25.5167,-54.5833,180.0,  ,FOZ DO IGUACU (AERO),1974,2020,12832
